test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
53,3,equal,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, ENMAT™ Y1000P, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,42.012065507153444,,50.0
54,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3704880575795496, PHB, ENMAT™ Y1000P, 0.3434894003033313, PHA, PHACT S1000P, 0.28602254211711897",True,42.46486304450734,,50.0
55,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.4059757028156763, PHB, ENMAT™ Y1000P, 0.48981252704472, PHA, PHACT S1000P, 0.1042117701396037",True,43.767052297671725,,50.0
56,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.2779306085966723, PHB, ENMAT™ Y1000P, 0.2680274666881162, PHA, PHACT S1000P, 0.45404192471521143",True,41.56731306877404,,50.0
57,3,equal,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, Green Planet™ PHBH, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,40.25663164074445,,50.0
58,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.1975519618562371, PHB, Green Planet™ PHBH, 0.3963765078150916, PHA, PHACT A1000P, 0.4060715303286714",True,39.44399121966338,,50.0
59,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.4944715949005195, PHB, Green Planet™ PHBH, 0.20606890508049477, PHA, PHACT A1000P, 0.29945950001898564",True,43.882686616672544,,50.0
60,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.7461684101603687, PHB, Green Planet™ PHBH, 0.13528579583576839, PHA, PHACT A1000P, 0.11854579400386282",True,49.977206216570586,,50.0
61,3,equal,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, Green Planet™ PHBH, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,41.76919574779658,,50.0
62,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.12050002580187802, PHB, Green Planet™ PHBH, 0.7404130522867991, PHA, PHACT S1000P, 0.13908692191132294",True,42.170995871962596,,50.0
63,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.561600123878125, PHB, Green Planet™ PHBH, 0.2573640952277907, PHA, PHACT S1000P, 0.18103578089408434",True,45.923564564815784,,50.0
64,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3568096641684259, PHB, Green Planet™ PHBH, 0.4591380236932116, PHA, PHACT S1000P, 0.1840523121383625",True,45.21237936064373,,50.0
65,3,equal,"['PLA Luminy® L175', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Luminy® L175, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,40.03026203138199,,50.0
66,3,random_sample_1,"['PLA Luminy® L175', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Luminy® L175, 0.16639703481466686, PHB, BIOCYCLE® 1000, 0.18839364403149933, PHA, PHACT A1000P, 0.6452093211538338",True,41.611030695393474,,50.0
67,3,random_sample_2,"['PLA Luminy® L175', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Luminy® L175, 0.4715333760083485, PHB, BIOCYCLE® 1000, 0.46884861628148733, PHA, PHACT A1000P, 0.059618007710164095",True,45.93568562564898,,50.0
68,3,random_sample_3,"['PLA Luminy® L175', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Luminy® L175, 0.448756498156275, PHB, BIOCYCLE® 1000, 0.2720736840872541, PHA, PHACT A1000P, 0.27916981775647093",True,43.288905709863634,,50.0
